participant_id,has_8_blocks,included_primary_performance,included_tlx,included_fitts,included_lba,exclusion_reason_primary,exclusion_reason_tlx,exclusion_reason_fitts,exclusion_reason_lba
P001,True,True,True,True,True,,,,
P002,False,False,True,True,True,incomplete,,,
P003,True,True,True,True,True,,,,
P004,True,True,True,True,True,,,,
P005,True,True,True,True,True,,,,
P006,True,True,True,True,True,,,,
P007,True,True,True,True,True,,,,
P008,True,True,True,True,True,,,,
P009,True,True,True,True,True,,,,
P010,True,True,True,True,True,,,,
P011,True,True,True,True,True,,,,
P012,True,True,True,True,True,,,,
P013,True,True,True,True,True,,,,
P014,True,True,True,True,True,,,,
P015,True,True,True,True,True,,,,
P016,True,True,True,True,True,,,,
P017,True,True,True,True,True,,,,
P018,True,True,True,True,True,,,,
P019,True,True,True,True,True,,,,
P020,True,True,True,True,True,,,,
P021,True,True,True,True,True,,,,
P022,True,True,True,True,True,,,,
P023,True,True,True,True,True,,,,
P024,True,True,True,True,True,,,,
P025,True,True,True,True,True,,,,
P026,True,True,True,True,True,,,,
P027,True,True,True,True,True,,,,
P028,True,True,True,True,True,,,,
P029,True,True,True,True,True,,,,
P030,False,False,True,True,True,incomplete,,,
P031,True,True,True,True,True,,,,
P032,True,True,True,True,True,,,,
P035,True,True,True,True,True,,,,
P036,True,True,False,True,True,,no_tlx,,
P037,False,False,True,True,True,incomplete,,,
P038,True,True,True,True,True,,,,
P039,True,True,True,True,True,,,,
P040,True,True,True,True,True,,,,
P041,True,True,True,True,True,,,,
P042,True,True,True,True,True,,,,
P043,False,False,True,True,True,incomplete,,,
P045,True,True,True,True,True,,,,
P046,True,True,True,True,True,,,,
P047,True,True,True,True,True,,,,
P048,False,False,True,True,True,incomplete,,,
P049,True,True,True,True,True,,,,
P050,True,True,True,True,True,,,,
P051,True,True,False,True,True,,no_tlx,,
P054,True,True,False,True,True,,no_tlx,,
P055,True,True,True,True,True,,,,
P057,False,False,True,True,True,incomplete,,,
P058,True,True,True,True,True,,,,
P059,False,False,True,True,True,incomplete,,,
P060,True,True,True,True,True,,,,
P061,False,False,True,True,True,incomplete,,,
P062,True,True,True,True,True,,,,
P063,False,False,True,True,True,incomplete,,,
P064,True,True,True,True,True,,,,
P065,True,True,True,True,True,,,,
P066,True,True,True,True,True,,,,
P067,True,True,True,True,True,,,,
P068,True,True,True,True,True,,,,
P069,True,True,True,True,True,,,,
P070,True,True,True,True,True,,,,
P072,False,False,False,True,True,incomplete,no_tlx,,
P073,False,False,True,True,True,incomplete,,,
P074,True,True,True,True,True,,,,
P075,True,True,True,True,True,,,,
P076,True,True,True,True,True,,,,
P077,True,True,True,True,True,,,,
P078,False,False,True,True,True,incomplete,,,
P079,True,True,True,True,True,,,,
P080,True,True,True,True,True,,,,
P081,True,True,True,True,True,,,,
P082,True,True,True,True,True,,,,
P083,True,True,True,True,True,,,,
P084,True,True,True,True,True,,,,
P085,True,True,True,True,True,,,,
P086,True,True,False,True,True,,no_tlx,,
P087,True,True,True,True,True,,,,
P088,True,True,False,True,True,,no_tlx,,
