pid,age,gender,gaming_hours_per_week,input_device,vision_correction,wearing_correction_now,dominant_hand,operating_hand,using_dominant_hand,motor_impairment,fatigue_level
P001,33,male,0.0,mouse,glasses,True,right,right,True,False,5
P003,18,male,1.0,mouse,none,False,left,right,False,False,4
P004,27,female,0.0,mouse,glasses,True,left,right,False,False,5
P005,20,male,6.0,mouse,none,False,left,right,False,False,4
P006,38,male,0.0,mouse,none,False,right,right,True,False,3
P007,27,male,2.0,mouse,glasses,True,right,right,True,False,2
P008,27,male,0.0,mouse,none,False,right,right,True,False,3
P009,26,female,0.0,mouse,none,False,right,right,True,False,5
P010,27,male,0.0,mouse,glasses,True,right,right,True,False,3
P011,31,female,0.0,mouse,none,False,right,right,True,False,4
P012,36,male,0.0,mouse,none,False,right,right,True,False,4
P013,62,male,0.0,mouse,none,False,right,right,True,False,4
P014,36,male,0.0,mouse,none,False,right,right,True,False,4
P015,42,male,0.0,mouse,glasses,True,right,right,True,False,6
P016,31,male,10.0,mouse,glasses,True,right,right,True,False,5
P017,33,male,3.0,mouse,none,False,right,right,True,False,4
P018,28,male,10.0,mouse,none,False,right,right,True,False,5
P019,33,male,0.0,mouse,none,False,right,right,True,False,5
P020,35,male,0.0,mouse,none,False,right,right,True,False,4
P021,20,female,0.0,mouse,glasses,False,right,right,True,False,5
P022,36,female,0.0,mouse,none,False,right,right,True,False,4
P023,28,female,0.0,mouse,none,False,right,right,True,False,3
P024,32,female,0.0,mouse,none,False,right,right,True,False,3
P025,34,male,0.0,mouse,glasses,True,right,right,True,False,4
P026,36,male,0.0,mouse,glasses,True,right,right,True,False,3
P027,40,female,0.0,mouse,none,False,right,right,True,False,3
P028,23,male,0.0,mouse,contacts,True,right,right,True,False,3
P029,54,female,0.0,mouse,glasses,False,right,right,True,False,2
P031,21,female,3.5,mouse,other,False,right,right,True,False,5
P032,28,female,1.0,mouse,none,False,right,right,True,False,5
P035,20,female,0.0,mouse,glasses,False,right,right,True,False,6
P036,27,male,0.0,mouse,glasses,False,right,right,True,False,4
P038,35,male,0.0,mouse,none,False,right,right,True,False,6
P039,28,female,0.0,mouse,none,False,right,right,True,False,5
P040,36,male,0.0,mouse,glasses,True,left,right,False,False,3
P041,27,female,0.0,mouse,none,False,right,right,True,False,5
P042,30,male,0.0,mouse,none,False,right,right,True,False,4
P045,30,female,0.0,mouse,none,False,right,right,True,False,5
P046,20,female,0.0,mouse,glasses,False,right,right,True,False,5
P047,28,female,0.0,mouse,glasses,True,right,right,True,False,5
P049,23,male,1.0,mouse,none,False,right,right,True,False,4
P050,30,female,0.0,mouse,none,False,right,right,True,False,7
P051,32,male,32.0,mouse,glasses,False,right,right,True,False,7
P054,30,female,0.0,mouse,none,False,right,right,True,False,5
P055,31,female,0.0,mouse,none,False,left,right,False,False,5
P058,21,female,0.0,mouse,contacts,True,right,right,True,False,5
P060,20,male,2.0,mouse,glasses,True,right,right,True,False,4
P062,32,female,0.0,mouse,none,False,right,right,True,False,4
P064,29,female,0.0,mouse,none,False,right,right,True,False,5
P065,32,male,0.0,mouse,glasses,True,right,right,True,False,4
P066,26,female,0.0,mouse,none,False,right,right,True,False,5
P067,30,male,8.0,mouse,glasses,True,right,right,True,False,4
P068,33,female,0.0,mouse,glasses,True,right,right,True,False,5
P069,46,female,0.0,mouse,none,False,right,right,True,False,3
P070,31,male,2.0,mouse,contacts,True,right,right,True,False,4
P074,30,male,0.0,mouse,glasses,True,right,right,True,False,1
P075,25,female,0.0,mouse,glasses,False,right,right,True,False,1
P076,30,male,0.0,mouse,glasses,False,right,right,True,False,4
P077,29,male,0.0,mouse,none,False,right,right,True,False,6
P079,32,female,0.0,mouse,none,False,right,right,True,False,4
P080,21,male,8.0,mouse,none,False,right,right,True,False,4
P081,36,male,1.5,mouse,none,False,right,right,True,False,4
P082,23,male,8.0,mouse,none,False,right,right,True,False,3
P083,33,male,0.0,mouse,none,False,right,right,True,False,5
P084,26,male,0.0,mouse,glasses,True,right,right,True,False,5
P085,26,male,1.0,mouse,none,False,right,right,True,False,1
P086,21,male,10.0,mouse,none,False,left,right,False,False,5
P087,24,female,0.0,mouse,glasses,True,right,right,True,False,7
P088,28,female,0.0,mouse,none,False,right,right,True,False,4
