,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"t0_mu[0, 0]",-2.846,0.326,-3.459,-2.239,0.006,0.003,2607.0,4728.0,1.0
"t0_mu[0, 1]",-3.008,0.332,-3.635,-2.42,0.007,0.003,2537.0,4934.0,1.0
"t0_mu[1, 0]",-1.41,0.229,-1.867,-1.003,0.004,0.002,2668.0,3813.0,1.0
"t0_mu[1, 1]",-0.971,0.218,-1.386,-0.57,0.004,0.002,2634.0,4372.0,1.0
vc_slope_mu,-0.935,0.01,-0.954,-0.915,0.0,0.0,14005.0,5380.0,1.0
gap_slope_mu,0.058,0.015,0.031,0.085,0.0,0.0,19185.0,5479.0,1.0
ve_mu,-0.019,2.005,-3.721,3.707,0.014,0.028,20289.0,5162.0,1.0
vc_base_mu,5.035,0.087,4.875,5.2,0.002,0.001,2629.0,4166.0,1.0
gap_int_mu,4.686,0.111,4.464,4.882,0.002,0.001,2086.0,3562.0,1.0
